"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"22","Vishal Mega Mart Ltd","VMM","P&F | F.A","2.85%","153.14","31,82,91,485"
"19","Capri Global Capital Limited","CGCL","P&F | F.A","0.72%","190.76","1,24,66,628"
"17","Paradeep Phosphates Ltd","PARADEEP","P&F | F.A","0.29%","225.77","94,09,652"
"25","Moksh Ornaments Ltd","MOKSH","P&F | F.A","0.15%","13.81","1,99,318"
"1","Cartrade Tech Ltd","CARTRADE","P&F | F.A","-0.28%","2382.8","2,47,250"
"14","Rbl Bank Limited","RBLBANK","P&F | F.A","-0.55%","255.4","80,85,816"
"2","Coromandel International Limited","COROMANDEL","P&F | F.A","-0.75%","2372","5,75,727"
"18","One Mobikwik Systems Ltd","MOBIKWIK","P&F | F.A","-1.01%","224.94","5,63,420"
"24","The South Indian Bank Limited","SOUTHBANK","P&F | F.A","-1.04%","29.43","64,15,280"
"9","Indegene Ltd","INDGN","P&F | F.A","-1.22%","562","2,54,725"
"8","Zinka Logistics Solutions Ltd","BLACKBUCK","P&F | F.A","-1.31%","641.75","31,12,682"
"13","Le Travenues Technology Ltd","IXIGO","P&F | F.A","-1.4%","284.52","33,54,909"
"26","Suvidhaa Infoserve Ltd","SUVIDHAA","P&F | F.A","-1.43%","4.14","54,016"
"6","RACL Geartech Ltd","RACLGEAR","P&F | F.A","-1.47%","899.8","13,133"
"3","One 97 Communications Ltd","PAYTM","P&F | F.A","-1.8%","1253.1","55,30,742"
"21","SCODATUBES","SCODATUBES","P&F | F.A","-1.81%","174.33","1,41,367"
"7","Indusind Bank Limited","INDUSINDBK","P&F | F.A","-1.87%","756.4","33,06,397"
"12","Schloss Bangalore Ltd","THELEELA","P&F | F.A","-1.9%","409.55","1,28,707"
"11","Pavna Industries Ltd","PAVNAIND","P&F | F.A","-1.94%","431.45","12,578"
"15","Northern ARC Capital Ltd","NORTHARC","P&F | F.A","-1.94%","249.21","6,48,479"
"16","Apollo Micro Systems Ltd","APOLLO","P&F | F.A","-2.97%","243.3","2,19,13,532"
"23","Sikko Industries Ltd","SIKKO","P&F | F.A","-3.28%","68.08","28,152"
"10","Td Power Systems Limited","TDPOWERSYS","P&F | F.A","-4.2%","498.9","10,19,353"
"5","Shankara Building Products","SHANKARA","P&F | F.A","-4.3%","968.4","1,14,854"
"20","Ptc India Limited","PTC","P&F | F.A","-4.74%","178.79","17,92,196"
"4","KFin Technologies Ltd","KFINTECH","P&F | F.A","-5%","1054.1","13,57,572"